[2026-03-19 21:00:04] Starting overnight autoresearch for SPY
[2026-03-19 21:00:04] Results directory: autoresearch_results/spy_20260320
[2026-03-19 21:00:04] Experiment timeout: 60s
[2026-03-19 21:00:04] Slippage: 0.01%
[2026-03-19 21:00:09] Total parameter combinations to test: 632
[2026-03-19 21:00:09] Starting EMA Crossover sweep (49 combos)...
[2026-03-19 21:00:09] Experiment 1/632 | EMA Crossover (fast=5, slow=15) | train=1.0959 test=0.3414 | ✅ KEPT
[2026-03-19 21:00:09] Experiment 2/632 | EMA Crossover (fast=5, slow=20) | train=0.9921 test=N/A | ❌
[2026-03-19 21:00:10] Experiment 3/632 | EMA Crossover (fast=5, slow=25) | train=0.9388 test=N/A | ❌
[2026-03-19 21:00:10] Experiment 4/632 | EMA Crossover (fast=5, slow=30) | train=0.8639 test=N/A | ❌
[2026-03-19 21:00:10] Experiment 5/632 | EMA Crossover (fast=5, slow=40) | train=0.8564 test=N/A | ❌
[2026-03-19 21:00:10] Experiment 6/632 | EMA Crossover (fast=5, slow=50) | train=0.9407 test=N/A | ❌
[2026-03-19 21:00:11] Experiment 7/632 | EMA Crossover (fast=5, slow=100) | train=1.0233 test=N/A | ❌
[2026-03-19 21:00:11] Experiment 8/632 | EMA Crossover (fast=7, slow=15) | train=1.0032 test=N/A | ❌
[2026-03-19 21:00:11] Experiment 9/632 | EMA Crossover (fast=7, slow=20) | train=0.9130 test=N/A | ❌
[2026-03-19 21:00:12] Experiment 10/632 | EMA Crossover (fast=7, slow=25) | train=0.7637 test=N/A | ❌
[2026-03-19 21:00:12] Experiment 11/632 | EMA Crossover (fast=7, slow=30) | train=0.7379 test=N/A | ❌
[2026-03-19 21:00:12] Experiment 12/632 | EMA Crossover (fast=7, slow=40) | train=0.8540 test=N/A | ❌
[2026-03-19 21:00:13] Experiment 13/632 | EMA Crossover (fast=7, slow=50) | train=0.9730 test=N/A | ❌
[2026-03-19 21:00:13] Experiment 14/632 | EMA Crossover (fast=7, slow=100) | train=1.1095 test=N/A | ❌
[2026-03-19 21:00:13] Experiment 15/632 | EMA Crossover (fast=9, slow=15) | train=0.7745 test=N/A | ❌
[2026-03-19 21:00:14] Experiment 16/632 | EMA Crossover (fast=9, slow=20) | train=0.8747 test=N/A | ❌
[2026-03-19 21:00:14] Experiment 17/632 | EMA Crossover (fast=9, slow=25) | train=0.7151 test=N/A | ❌
